City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Tuktoyaktuk,CA,2021-12-31 22:57:00,69.4541,-133.0374,-23.8,69,90,6.91
166,Alice Springs,AU,2021-12-31 22:57:00,-23.7,133.8833,89.15,31,32,14.97
167,Hambantota,LK,2021-12-31 22:51:06,6.1241,81.1185,75.2,91,88,12.12
168,Mnogovershinnyy,RU,2021-12-31 22:57:01,53.9353,139.9242,-18.33,81,28,5.37
169,Bethel,US,2021-12-31 22:54:47,41.3712,-73.414,49.77,89,89,4.09
170,Akyab,MM,2021-12-31 22:57:02,20.15,92.9,65.32,62,2,7.18
171,Krasnorechenskiy,RU,2021-12-31 22:57:02,44.6265,135.3532,-15.11,91,22,10.76
172,Mount Gambier,AU,2021-12-31 22:57:03,-37.8333,140.7667,64.31,82,100,3.44
173,Bambous Virieux,MU,2021-12-31 22:57:03,-20.3428,57.7575,75.45,83,75,3.44
174,Pokhara,NP,2021-12-31 22:57:03,28.2333,83.9833,50.97,50,69,4.54
175,Nouadhibou,MR,2021-12-31 22:57:04,20.931,-17.0347,75.18,31,0,9.22
176,Cherskiy,RU,2021-12-31 22:57:04,68.75,161.3,-23.51,98,99,1.3
177,Moyale,KE,2021-12-31 22:57:04,3.5167,39.0584,70.25,37,56,7.9
178,Hermanus,ZA,2021-12-31 22:52:24,-34.4187,19.2345,59.9,79,97,11.61
179,Vanimo,PG,2021-12-31 22:57:05,-2.6741,141.3028,79.38,88,100,4.54
180,Alofi,NU,2021-12-31 22:57:05,-19.0595,-169.9187,82.29,78,100,10.36
181,Chapais,CA,2021-12-31 22:57:06,49.7834,-74.8492,22.78,94,100,10.2
182,Marawi,PH,2021-12-31 22:57:06,7.9986,124.2928,65.64,93,100,2.55
183,Kaniama,CD,2021-12-31 22:57:07,-7.5667,24.1833,65.71,98,100,2.59
184,Esperance,AU,2021-12-31 22:58:07,-33.8667,121.9,62.44,64,100,10.25
185,Duki,PK,2021-12-31 22:58:07,30.1541,68.5728,42.67,68,19,2.37
